4.18	-96.435	34.66	1997	9	6	23	38	0.9	2.24	0.89292	0.087855	-2.5738	0.23348	14	1344.8	6.1923e-05	0.12534	1.3284	0.22676	4.1362	0.57823	0	1.0074	1.7246	0.58849
4.17	-83.88	38.14	1988	9	7	2	28	10	2.55	0.94777	0.01507	-1.1841	0.04318	7	4153.4	4.8217e-05	0.15095	0.7445	0.11587	2.6792	0.35121	4	1.052	1.162	0.95244
4.16	-82.98	37.13	2012	11	10	17	8	12	2.47	NaN	NaN	NaN	NaN	3	NaN	3.8021e-05	0.071014	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN
4.15	-88.96	41.44	2004	6	28	6	10	52	2.5	NaN	NaN	NaN	NaN	0	NaN	2.0886e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.14	-69.8	44	1979	4	18	2	34	0	2.27	NaN	NaN	NaN	NaN	3	NaN	5.9688e-06	0.01837	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.14	-98.9	42.81	2002	11	3	20	41	56	2.48	NaN	NaN	NaN	NaN	2	NaN	2.1211e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.14	-96.925	35.657	2012	8	28	0	50	15.8	2.38	NaN	NaN	NaN	NaN	890	NaN	0.0039994	7.9421	NaN	NaN	NaN	NaN	198.2	NaN	NaN	NaN
4.13	-89.83	36.56	1991	5	4	1	18	54	2.24	0.85917	0.049678	-3.2217	0.064152	85	40.487	0.002477	3.8781	1.7049	0.099755	5.8336	0.25687	7	1.0012	1.1605	0.86368
4.12	-76.24	46.46	1975	7	12	12	37	15	2.37	NaN	NaN	NaN	NaN	6	NaN	6.4124e-05	0.11149	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
4.11	-82.06	33.81	2014	2	15	3	23	38	2.36	NaN	NaN	NaN	NaN	6	NaN	6.2942e-05	0.069245	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN
4.1	-75.433	39.198	2017	11	30	21	47	31.25	2.5	NaN	NaN	NaN	NaN	0	NaN	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
